paper_title,authors,year,DOI,citation_count,already_in_corpus,domain,estimator_keywords,dataset_name,dataset_topic,dataset_size_if_available,response_variable,predictors_or_covariates,coordinates_or_geometry,W_or_neighbor_structure_if_available,regression_formula_or_model_specification,formula_status,data_access_url,code_url,open_access_pdf_url,reason_for_selection,ingestion_priority,verification_notes,source_url,matched_query
Examining the association between socio-demographic composition and COVID-19 fatalities in the European region using spatial regression approach,Srikanta Sannigrahi; Francesco Pilla; Bidroha Basu; Arunima Sarkar Basu; Anna Mölter,2020,10.1016/j.scs.2020.102418,347,no,education / inequality; health / epidemiology,SAR; SEM; GWR,non vérifié,education / inequality; health / epidemiology,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S2210670720306399/pdf,"spatial dataset likely, manual verification required; citations=347; query=spatial econometrics SAR SEM SDM dataset regression",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.scs.2020.102418,spatial econometrics SAR SEM SDM dataset regression
Using geographically weighted models to explore how crowdsourced landscape perceptions relate to landscape physical characteristics,Yi-Min Chang Chien; Steve Carver; Alexis Comber,2020,10.1016/j.landurbplan.2020.103904,76,no,non vérifié,GWR; MGWR; SVC,non vérifié,non vérifié,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S0169204620304667/pdf,"spatial dataset likely, manual verification required; citations=76; query=geographically weighted regression dataset GWR MGWR bandwidth",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.landurbplan.2020.103904,geographically weighted regression dataset GWR MGWR bandwidth
Targeting the spatial context of obesity determinants via multiscale geographically weighted regression,Taylor M. Oshan; Jordan P. Smith; A. Stewart Fotheringham,2020,10.1186/s12942-020-00204-6,203,no,health / epidemiology; agriculture / crop yield,GWR; MGWR,non vérifié,health / epidemiology; agriculture / crop yield,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://ij-healthgeographics.biomedcentral.com/track/pdf/10.1186/s12942-020-00204-6,"empirical/case-study dataset likely, manual verification required; citations=203; query=geographically weighted regression dataset GWR MGWR bandwidth",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1186/s12942-020-00204-6,geographically weighted regression dataset GWR MGWR bandwidth
Computational improvements to multi-scale geographically weighted regression,Ziqi Li; A. Stewart Fotheringham,2020,10.1080/13658816.2020.1720692,164,no,housing / real estate,GWR; MGWR,non vérifié,housing / real estate,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://figshare.com/articles/Computational_improvements_to_multi-scale_geographically_weighted_regression/11821449,"dataset mentioned in title/abstract, manual verification required; citations=164; query=geographically weighted regression dataset GWR MGWR bandwidth",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1080/13658816.2020.1720692,geographically weighted regression dataset GWR MGWR bandwidth
Modelling hedonic residential rents for land use and transport simulation while considering spatial effects,Michael Löchl; Kay W. Axhausen,2010,10.5198/jtlu.v3i2.117,80,no,housing / real estate; soil / geochemistry / pollution; transport / mobility; land use / biodiversity,SAR; GWR,non vérifié,housing / real estate; soil / geochemistry / pollution; transport / mobility; land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.jtlu.org/index.php/jtlu/article/download/117/117,"dataset mentioned in title/abstract, manual verification required; citations=80; query=housing price spatial econometrics GWR SAR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.5198/jtlu.v3i2.117,housing price spatial econometrics GWR SAR dataset
Accounting for spatial effects in land use regression for urban air pollution modeling,Stefania Bertazzon; Markey Johnson; Kristin M. Eccles; Gilaad G. Kaplan,2015,10.1016/j.sste.2015.06.002,78,no,health / epidemiology; soil / geochemistry / pollution; land use / biodiversity,SAR; GWR,non vérifié,health / epidemiology; soil / geochemistry / pollution; land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.sciencedirect.com/science/article/pii/S1877584515000325/pdf,"spatial dataset likely, manual verification required; citations=78; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1016/j.sste.2015.06.002,health mortality spatial regression GWR dataset
Particulate air pollution and chronic ischemic heart disease in the eastern United States: a county level ecological study using satellite aerosol data,Zhiyong Hu; K. Ranga Rao,2009,10.1186/1476-069x-8-26,73,no,health / epidemiology; soil / geochemistry / pollution,SAR; SEM,non vérifié,health / epidemiology; soil / geochemistry / pollution,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://ehjournal.biomedcentral.com/counter/pdf/10.1186/1476-069X-8-26,"spatial dataset likely, manual verification required; citations=73; query=health mortality spatial regression GWR dataset",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1186/1476-069x-8-26,health mortality spatial regression GWR dataset
Relationship between urban morphology and land surface temperature—A case study of Nanjing City,Shusheng Yin; Jiatong Liu; Han Zeng-lin,2022,10.1371/journal.pone.0260205,66,no,climate / weather; land use / biodiversity,GWR; MGWR,non vérifié,climate / weather; land use / biodiversity,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0260205&type=printable,"empirical/case-study dataset likely, manual verification required; citations=66; query=geographically weighted regression dataset GWR MGWR bandwidth",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1371/journal.pone.0260205,geographically weighted regression dataset GWR MGWR bandwidth
Evaluating the impact of urban morphology on urban vitality: an exploratory study using big geo-data,Yanxiao Jiang; Zhou Huang; Xiao Zhou; Xiaojian Chen,2024,10.1080/17538947.2024.2327571,63,no,soil / geochemistry / pollution; transport / mobility,GWR; MGWR,non vérifié,soil / geochemistry / pollution; transport / mobility,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.tandfonline.com/doi/pdf/10.1080/17538947.2024.2327571?download=true,"spatial dataset likely, manual verification required; citations=63; query=geographically weighted regression dataset GWR MGWR bandwidth",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1080/17538947.2024.2327571,geographically weighted regression dataset GWR MGWR bandwidth
"Predictive model of spatial scale of forest fire driving factors: a case study of Yunnan Province, China",Wenhui Li; Quanli Xu; Junhua Yi; Jing Liu,2022,10.1038/s41598-022-23697-6,59,no,climate / weather,GWR; MGWR; spatial_CV,non vérifié,climate / weather,non trouvé,non vérifié,non vérifié,spatial units/coordinates implied; à vérifier,non vérifié,non vérifié,not_found,non trouvé,non trouvé,https://www.nature.com/articles/s41598-022-23697-6.pdf,"empirical/case-study dataset likely, manual verification required; citations=59; query=geographically weighted regression dataset GWR MGWR bandwidth",high,"OpenAlex screening only; vérifier texte complet, données, formule et code avant ingestion.",https://doi.org/10.1038/s41598-022-23697-6,geographically weighted regression dataset GWR MGWR bandwidth
