dataset_key	article_ids	paper_dois	dataset_name	recovery_status	kg_ingestion_status	dataset_dois	verified_or_kg_source_urls	tei_repository_clues	existing_local_paths	tei_paths	source_owner_seed	retrieval_lead_seed	curation_notes_seed	tei_evidence_excerpt	next_action
2016_us_county_election	A01	10.1007/s10109-018-0280-7	2016 US county election	pipeline_rds_built_manual_review			https://github.com/tonmcg/US_County_Level_Election_Results_08-24 | https://www2.census.gov/geo/tiger/TIGER_DP/2015ACS/ACS_2015_5YR_COUNTY.gdb.zip | https://www2.census.gov/programs-surveys/popest/datasets/2010-2015/counties/asrh/cc-est2015-alldata.csv		data/raw/papers/A01_US_county_election_results | data/final_datasets/sf/paper_us_county_election_2016.rds	corpus\papers\tei\Geographically_weighted_elastic_net_logistic_regression_W2892463357.tei.xml			Reconstructed at N=3108 with complete paper predictors. Election FIPS 46113 is explicitly crosswalked to 46102 (Oglala Lakota). maps 3.1.1 has only 3075 unique FIPS and omits 33 Virginia independent cities; complete geometry therefore uses the official Census 2015 county layer. Raw and [0.001,1]-scaled predictors are both retained.	tic net logistic regression is first evaluated through a simulation experiment and shown to provide a robust approach for local model selection and alleviating local collinearity, before application to two case studies: county-level voting patterns in the 2016 USA presidential election, examining the spatial structure of socio-economic factors associated with voting for Trump, and a species presence-absence data set linked to explanatory environmental and climatic factors at gridded locations covering mainland USA. The approach is compared with other logistic regressions. It improves prediction for the election case study only which exhib	Add LOADER_TO_DIR, faithful formula Trump ~ PCemp + PCcol + PCo65 + PopD + PCwhi, readiness evidence and KG linkage; manually verify fiche before package export.
332_genera_across_63_hydrothermal_fields	N02	10.1111/2041-210X.12208	332 genera across 63 hydrothermal fields	exact_public_file_identified_broken_link		10.1016/j.dsr.2009.01.009	https://archimer.ifremer.fr/doc/00000/6936/ | https://archimer.ifremer.fr/doc/2009/sup-6936.xls			corpus\papers\tei\Spatially constrained clustering of ecological networks [N02].tei.xml			The Bachraty et al. Archimer record identifies sup-6936.xls as the exact supplementary table used for 332 genera across 63 fields. The legacy URL currently redirects to 6126.xls and returns HTTP 404, so the file has not yet been recovered.		query Archimer/Ifremer for the migrated attachment or request sup-6936.xls from the repository; verify 63 fields, 332 genera and coordinates before loading
anemonefish_anemone_mutualistic_networks_across_16_locations	N02	10.1111/2041-210X.12208	anemonefish-anemone mutualistic networks across 16 locations	mixed_public_and_author_supplied_reconstruction			https://doi.org/10.1111/2041-210X.12208			corpus\papers\tei\Spatially constrained clustering of ecological networks [N02].tei.xml			N02 states that the interaction network was published by Ricciardi, Boyer & Ollerton (2010), whereas the geographical positions used for the 16 locations were supplied directly by Francesco Ricciardi. The interaction table may therefore be recoverable publicly, but the exact spatial dataset is not a fully public deposit.		retrieve and verify the Ricciardi interaction table; seek the 16 author-supplied geographical positions or an archived geoclust package before any exact reconstruction
atlantic_mortality	A02	10.4230/LIPIcs.GIScience.2023.11	Atlantic mortality	pipeline_rds_built_manual_review			https://github.com/mie-lab/spatial_rf_python		data/raw/papers/A02_spatial_rf_python/data/atlantic.csv | data/final_datasets/sf/paper_a02_atlantic.rds	corpus\papers\tei\Benchmarking Regression Models Under Spatial heterogeneity.tei.xml			CRS absent from A02 but reconstructed as EPSG:5070 (NAD83 / Conus Albers) by FIPS matching against official Census county centroids; median coordinate offsets are only about 4 m and residual differences reflect boundary vintages. FIPS is retained as an identifier and excluded from the faithful formula. Official replication commit 20d88253883492d81e62ae550a01ff2b8aaeed26; repository license MIT. Formula: Rate ~ POV + SMOK + PM25 + NO2 + SO2.	ce from the location and seven other variables, such as the size and number of rooms, age, income, and population size. The number of bedrooms is missing for 1% of the houses and we omitted those respective records. The Atlantic mortality dataset 6 captures county-level mortality rates from 2010-2012, from which we have extracted only one year's worth of data for our purposes. Rates of smoking and poverty, as well as PM25, SO2, and NO2 levels provided as annual means are utilized as covariates. We further use a dataset on deforestation rates 7 that was published by Santos et al. [27] . The dataset provides annual deforestation rates from 20	Add KG paper-dataset relation and fiche metadata; manually verify the fiche before package promotion.
bangladesh_climate_migration_projections	N01	10.1098/rspa.2020.0113	Bangladesh climate-migration projections	public_supplement_identified_pending_retrieval			https://doi.org/10.1088/1748-9326/aac4d4 | https://iopscience.iop.org/article/10.1088/1748-9326/aac4d4/data | https://doi.org/10.1029/2020EF001931			corpus\papers\tei\An information-theoretic approach to study spatial dependencies in small datasets [N01].tei.xml			The official IOP data page identifies two Davis et al. supplementary files, ERL_13_064030_SD.pdf and ERL_13_064030_SD.xlsx. Their signed CDN links were discovered, but direct retrieval failed after the page stopped exposing fresh signatures; no local source artifact is claimed yet.	ach on synthetic datasets comprising 25-100 measurements, generated by linear or nonlinear autoregressive processes. Upon validation on synthetic processes, we examine datasets of human migration under climate change in Bangladesh and motor vehicle deaths in the United States of America. For both these real datasets, our approach is successful in identifying meaningful spatial patterns, begetting statisticallyprincipled insight into the mechanisms of important socioeconomic problems. Introduction The identification and quantification of spatial dependencies in ensembles of random variables is a ubiquitous problem in science and engineering [1	retry the official IOP data page in an interactive session or download ERL_13_064030_SD.xlsx manually; then verify the 64-district migration vector and spatial identifiers used by N01
belgium_covid_19_vulnerability_by_9627_statistical_sectors	N05	10.1016/j.spasta.2025.100907	Belgium COVID-19 vulnerability by 9627 statistical sectors	associated_repository_without_empirical_data			https://github.com/bryansumalinab/Geoadditive-Modeling		data/raw/papers/N05_Belgium_COVID_vulnerability/github_bryansumalinab_Geoadditive_Modeling/Geoadditive-Modeling-main.zip	corpus\papers\tei\A Low-Rank Bayesian Approach for Geoadditive Modeling [N05].tei.xml			The repository explicitly cited by N05 was downloaded and inspected. It contains simulation code and the Meuse analysis, but no Belgium COVID data or Belgium analysis file. Code availability therefore does not establish data availability.		trace the Belgian statistical-sector case/risk-factor sources from the paper and authors; do not reconstruct 9,627 sectors until variable definitions and reference dates are fixed
berlin	A03	10.1007/s10109-025-00481-4	Berlin	pipeline_rds_built_manual_review	catalog_only_source_not_extracted		https://github.com/ggeniaux/tds_mgwr_datasets		data/raw/papers/Geniaux2026_TopDownScale_GitHub/prenzlauer.csv | data/final_datasets/sf/paper_a03_berlin.rds	corpus\papers\tei\atds_mgwr_ghislain_geniaux.tei.xml			N=2203; log(price) response; five published predictors; source coordinates are Web Mercator EPSG:3857.	in France (DVF), ensuring a wide diversity in theme, sample sizes and number of explanatory variables. The table 5 describes the main characteristics of these datasets. Further details on Georgia, Clearwater, Tokyo and Berlin datasets can be found on Pysal website ( p y s a l . Because atds_mgwr requires computing the global AIC using the formula from Yu et al. (2020) at each iteration of the two stages of this estimator, it cannot be used for datasets larger than 5000 observations within a reasonable time frame. Therefore, atds_mgwr results are provided only for samples smaller than this threshold. Predictions are made using a random 5-	Add KG relation, formula override and readiness evidence; generate and manually verify fiche before package export.
bilateral_trade_flow_gravity_data	E08	10.1016/j.regsciurbeco.2013.09.002	bilateral trade-flow gravity data	public_legacy_source_identified_pending_retrieval			http://cid.econ.ucdavis.edu/			corpus\papers\tei\E08.tei.xml	Behrens et al. (2012)	Retrieve replication material cited by E08/E09; search title plus Behrens 2012 gravity data	E08 states that it uses the Anderson–van Wincoop bilateral trade data for 30 US states and Canadian provinces and points to Robert C. Feenstra's CID site.	mited to the immediate neighbors. Contrarily, the unobserved factors that are affecting pollution in that location are bounded to a small local neighborhood. Behrens et al. (2012) use a SARMA(1,1) specification to model bilateral trade flows between regions based on a dual version of the gravity equation. This specification allows to take into account the interdependence between trade flows through a spatial autoregressive process for the trade flows. Hence, the trade flows from a region to a destination region depend on all the trade flows from the other regions to the destination region. Behrens et al. (2012) consider a spatial moving aver	retrieve the legacy CID files and verify the exact scaling, distance matrix and E08 regression sample
boston_housing	A12;C05;E09;G08	10.1016/j.regsciurbeco.2013.12.003;10.1080/03610918.2022.2154365;10.1080/13658816.2016.1149181;10.1111/gean.12289	Boston housing	already_in_repo	pdf_present_pending_grobid	10.6084/m9.figshare.3189004	https://tandf.figshare.com/articles/dataset/A_bootstrap_test_for_constant_coefficients_in_geographically_weighted_regression_models/3189004		data/final_datasets/sf/Python_geodatasets_spdata.boston.rds	corpus\papers\tei\A bootstrap test for constant coefficients in geographically weighted regression models.tei.xml;corpus\papers\tei\C05.tei.xml;corpus\papers\tei\E09.tei.xml;corpus\papers\tei\G08.tei.xml	Behrens et al. (2012)	Retrieve replication material cited by E08/E09; search title plus Behrens 2012 gravity data	Same empirical family appears in two articles; verify whether the exact extract is identical.	nal significant level 0.05 compared with test statistics RS * n . The power of test statistics RS * n and RS * IV n are not clearly different. Illustration In this section, we apply the proposed estimation method to the Boston housing price data, 5 . From Table 5 , we can see that the effect of X 2 is varying at quantile 0.2-0.9, the effect of X 3 is varying at quantile 0.6, the effect of X 5 is varying at quantile 0.4-0.8, and the coefficients of the other two variables are constant at all quantile levels. It is noted that the result is a little different from Sun, et al. (2014) . In which, coefficients of Q τ (y i |F -i , X 1i , • • • , | illustrative application, the Harrison and Rubinfeld (1978) data set described in Gilley and Kelley Pace (1996) is used to estimate a hedonic housing-price model for a sample of 506 observations of census tracts in the Boston Standard Metropolitan Area in 1970. This data set has been used by many authors to illustrate various econometric techniques, see for example LeSage (1999) and Baltagi (2008). In this application, the median house price is explained by thirteen variables that are described more fully in Table 9 of Appendix C: per-capita crime rate by town, proportion of residential land zoned for lots over 25,000 ft 2 , proportion o	verify exact paper extract, variables and licence
california_housing	A02	10.4230/LIPIcs.GIScience.2023.11	California Housing	pipeline_rds_built_manual_review			https://github.com/mie-lab/spatial_rf_python		data/raw/papers/A02_spatial_rf_python/data/california_housing.csv | data/final_datasets/sf/paper_a02_california_housing.rds	corpus\papers\tei\Benchmarking Regression Models Under Spatial heterogeneity.tei.xml			CRS absent from A02 but reconstructed as EPSG:3310 (NAD83 / California Albers): transforming the original Kaggle longitude/latitude reproduces the distributed x/y coordinates (about 2 m difference on the first documented record). Official replication commit 20d88253883492d81e62ae550a01ff2b8aaeed26; repository license MIT. Formula: median_house_value ~ housing_median_age + total_rooms + total_bedrooms + population + households + median_income + ocean_proximity.	[19, 22, 14, 1] . The following sub-section first introduces these datasets. Afterward, we discuss the results obtained. Datasets There are five real-world, publicly available datasets that we employ for validation: The California housing dataset 5 was generated from the 1990 California census. Our goal is to predict the median house price from the location and seven other variables, such as the size and number of rooms, age, income, and population size. The number of bedrooms is missing for 1% of the houses and we omitted those respective records. The Atlantic mortality dataset 6 captures county-level mortality rates from 2010-2012, from whi	Add KG paper-dataset relation and fiche metadata; manually verify the fiche before package promotion.
