key	title	doi	status	local_path	source_url	http_status	content_type	note
Pebesma_2004_gstat	Multivariable geostatistics in S: the gstat package	10.1016/j.cageo.2004.03.012	manual_present	corpus\papers\raw_pdf\pebesma2004.pdf	https://doi.org/10.1016/j.cageo.2004.03.012			Unpaywall: aucune version open access connue. Tentatives: 200 text/html;charset=UTF-8 https://doi.org/10.1016/j.cageo.2004.03.012 PDF deja present localement sous pebesma2004.pdf.
Minasny_McBratney_2007_EBLUP_Matern	Spatial prediction of soil properties using EBLUP with the Mat{\'e	10.1016/j.geoderma.2007.04.028	manual_present	corpus\papers\raw_pdf\Spatial prediction of soil properties using EBLUP.pdf	https://doi.org/10.1016/j.geoderma.2007.04.028			Unpaywall: aucune version open access connue. Tentatives: 200 text/html;charset=UTF-8 https://doi.org/10.1016/j.geoderma.2007.04.028 PDF ajoute manuellement dans corpus/papers/raw_pdf.
Behrens_ViscarraRossel_2020_InformationHorizon	On the interpretability of predictors in spatial data science: the information horizon	10.1038/s41598-020-73773-y	downloaded	corpus\papers\raw_pdf\Behrens_ViscarraRossel_2020_InformationHorizon.pdf	https://www.nature.com/articles/s41598-020-73773-y.pdf	200	application/pdf	
Moller_2020_OGC	Oblique geographic coordinates as covariates for digital soil mapping	10.5194/soil-6-269-2020	downloaded	corpus\papers\raw_pdf\Moller_2020_OGC.pdf	https://soil.copernicus.org/articles/6/269/2020/soil-6-269-2020.pdf	200	application/pdf	
Mao_Yao_2020_KingCounty_HousePrice	A Geographic Feature Integrated Multivariate Linear Regression Method for House Price Prediction	10.2991/assehr.k.201214.522	manual_present	corpus\papers\raw_pdf\A geographic feature integrated multivariate linear regression method.pdf	https://doi.org/10.2991/assehr.k.201214.522			Tentatives: 200 text/html;charset=utf-8 https://doi.org/10.2991/assehr.k.201214.522 PDF ajoute manuellement dans corpus/papers/raw_pdf.
Li_2024_GeoShapley_KingCounty	GeoShapley: A Game Theory Approach to Measuring Spatial Effects in Machine Learning Models	10.1080/24694452.2024.2350982	manual_present	corpus\papers\raw_pdf\GeoShapley  A Game Theory Approach to Measuring Spatial Effects in Machine Learning Models.pdf	https://doi.org/10.1080/24694452.2024.2350982 | https://www.tandfonline.com/doi/pdf/10.1080/24694452.2024.2350982?needAccess=true			Tentatives: 403 text/html; charset=UTF-8 https://doi.org/10.1080/24694452.2024.2350982 ; 403 text/html; charset=UTF-8 https://www.tandfonline.com/doi/pdf/10.1080/24694452.2024.2350982?needAccess=true PDF ajoute manuellement dans corpus/papers/raw_pdf.
Bongiovanni_LowenbergDeBoer_2000_LasRosas_Nitrogen	Nitrogen Management in Corn Using Site-Specific Crop Response Estimates from a Spatial Regression Model		manual_present	corpus\papers\raw_pdf\Economics of Nitrogen Management in Corn Using Sitespecific cross response.pdf	https://scispace.com/papers/nitrogen-management-in-corn-using-site-specific-crop-1vl2da67sx			DOI absent. Tentatives: 405 text/html; charset=UTF-8 https://scispace.com/papers/nitrogen-management-in-corn-using-site-specific-crop-1vl2da67sx PDF ajoute manuellement dans corpus/papers/raw_pdf.
Rakshit_Baddeley_2020_LasRosas_GWR	Novel Approach to the Analysis of Spatially-Varying Treatment Effects in On-Farm Experiments	10.1016/j.fcr.2020.107783	manual_present	corpus\papers\raw_pdf\rakshit2020_Novel approach to the analysis of spatially-varying treatment effects in onfarm experiments.pdf	https://doi.org/10.1016/j.fcr.2020.107783			Unpaywall: aucune version open access connue. Tentatives: 200 text/html;charset=UTF-8 https://doi.org/10.1016/j.fcr.2020.107783 PDF ajoute manuellement dans corpus/papers/raw_pdf.
Wang_Huang_2026_GWRBoost_NYCEducation	GWRBoost: A Geographically Weighted Gradient Boosting Framework for Enhanced Explainable Quantification of Spatially Varying Relationships	10.1080/24694452.2026.2648327	manual_present	corpus\papers\raw_pdf\A geographically weighted gradient boosting method for explainable quantification of spatially-varying relationships_GWRBoost.pdf	https://doi.org/10.1080/24694452.2026.2648327			Unpaywall: aucune version open access connue. Tentatives: 403 text/html; charset=UTF-8 https://doi.org/10.1080/24694452.2026.2648327 PDF ajoute manuellement dans corpus/papers/raw_pdf.
Liu_Kounadi_ZuritaMilla_2022_SAC_ML	Incorporating Spatial Autocorrelation in Machine Learning Models Using Spatial Lag and Eigenvector Spatial Filtering Features	10.3390/ijgi11040242	manual_present	corpus\papers\raw_pdf\Incorporating Spatial Autocorrelation in Machine Learning Models Using Spatial Lag and Eigenvector Spatial Filtering Features.pdf	https://doi.org/10.3390/ijgi11040242 | https://www.mdpi.com/2220-9964/11/4/242/pdf?version=1649398052 | https://dx.doi.org/10.3390/ijgi11040242			Tentatives: 403 text/html https://doi.org/10.3390/ijgi11040242 ; 403 text/html https://www.mdpi.com/2220-9964/11/4/242/pdf?version=1649398052 ; 403 text/html https://dx.doi.org/10.3390/ijgi11040242 PDF ajoute manuellement dans corpus/papers/raw_pdf.
