dataset_doi,repo,verified,download_status,n_files,total_mb,local_raw_dir,linked_publication_doi,paper_resolved,title,note
10.25349/d9x893,dryad,False,failed,0,0.00,,10.1111/ecog.06107,True,Spatial uncertainty in herbarium data: Simulated displacement but not error distance alters estimates of phenological sensitivity to climate in a widespread California wildflower,aucun fichier ne matche --file-pattern '^(Camera_|Extrapolation|LDF|Location_|README).*\\.(csv|md)$'
10.5061/dryad.236j7,dryad,False,failed,0,0.00,,10.1016/j.ymeth.2017.01.007,True,Data from: Comparative analysis of 2D and 3D distance measurements to study spatial genome organization,aucun fichier ne matche --file-pattern '^(Camera_|Extrapolation|LDF|Location_|README).*\\.(csv|md)$'
10.5061/dryad.3n5tb2rqt,dryad,True,downloaded,8,4.30,data\raw\papers\DatasetFirst_10_5061_dryad_3n5tb2rqt,10.1098/rspb.2023.2568,True,"R scripts, input and output data for: Season of death, pathogen persistence and wildlife behaviour alter number of anthrax secondary infections from environmental reservoirs",17 fichier(s) au format donnee reelle detecte(s)
10.5061/dryad.4qrfj6q6b,dryad,False,failed,0,0.00,,10.1073/pnas.2000247117,True,Spatial proximity moderates genotype uncertainty in genetic tagging studies,aucun fichier ne matche --file-pattern '^(Camera_|Extrapolation|LDF|Location_|README).*\\.(csv|md)$'
10.5061/dryad.69p8cz94j,dryad,False,failed,0,0.00,,10.5281/zenodo.6821891,True,Detecting and reducing heterogeneity of error in acoustic classification: Data,aucun fichier ne matche --file-pattern '^(Camera_|Extrapolation|LDF|Location_|README).*\\.(csv|md)$'
10.5061/dryad.6m905qgc7,dryad,True,downloaded,1,0.00,data\raw\papers\DatasetFirst_10_5061_dryad_6m905qgc7,10.1109/tim.2024.3460944,True,Data for: A temporal–spatial framework for efficient heat flux monitoring of transient boiling,1 fichier(s) au format donnee reelle detecte(s)
10.5061/dryad.9v46k,dryad,False,failed,0,0.00,,10.1111/ecog.03098,True,"Data from: Can collective memories shape fish distributions? A test, linking space-time occurrence models and population demographics",aucun fichier ne matche --file-pattern '^(Camera_|Extrapolation|LDF|Location_|README).*\\.(csv|md)$'
10.5061/dryad.bk3j9kdk5,dryad,False,failed,0,0.00,,10.1016/j.scitotenv.2022.156172,True,Improved estimation of global gross primary productivity during 1981–2020 using the optimized P model,aucun fichier ne matche --file-pattern '^(Camera_|Extrapolation|LDF|Location_|README).*\\.(csv|md)$'
10.5061/dryad.c2fqz61cv,dryad,True,downloaded,1,0.00,data\raw\papers\DatasetFirst_10_5061_dryad_c2fqz61cv,10.1175/waf-d-22-0143.1,True,Data for: A new paradigm for medium-range severe weather forecasts: Probabilistic random forest-based predictions,5 fichier(s) au format donnee reelle detecte(s)
10.5061/dryad.cb8gd26,dryad,False,failed,0,0.00,,10.1073/pnas.1817999116,True,Data from: Rates of niche and phenotype evolution lag behind diversification in a temperate radiation,aucun fichier ne matche --file-pattern '^(Camera_|Extrapolation|LDF|Location_|README).*\\.(csv|md)$'
10.5061/dryad.k0p2ngfcc,dryad,True,downloaded,1,0.01,data\raw\papers\DatasetFirst_10_5061_dryad_k0p2ngfcc,10.1016/j.celrep.2023.113494,True,CODEX multiplexed imaging of immunotherapy in human and mouse melanomas,4 fichier(s) au format donnee reelle detecte(s)
10.5061/dryad.nzs7h44s4,dryad,False,failed,0,0.00,,10.1101/2020.05.26.117325,True,Fly and mouse tracking models and kinematics related to Anipose toolkit paper,aucun fichier ne matche --file-pattern '^(Camera_|Extrapolation|LDF|Location_|README).*\\.(csv|md)$'
10.5061/dryad.r4xgxd2tm,dryad,True,downloaded,1,0.01,data\raw\papers\DatasetFirst_10_5061_dryad_r4xgxd2tm,10.1029/2025wr041510,True,Data for: A hybrid biophysical-machine learning framework for diurnal surface energy flux estimation using proximal sensing,2 fichier(s) au format donnee reelle detecte(s)
10.5061/dryad.tdz08kq33,dryad,True,downloaded,1,0.00,data\raw\papers\DatasetFirst_10_5061_dryad_tdz08kq33,10.1111/1755-0998.13745,True,The topological nature of tag jumping in environmental DNA metabarcoding studies (sequencing raw data),1 fichier(s) au format donnee reelle detecte(s)
10.5061/dryad.v6wwpzhb8,dryad,True,downloaded,1,0.02,data\raw\papers\DatasetFirst_10_5061_dryad_v6wwpzhb8,10.7554/elife.95562,True,Data from: Spatially targeted inhibitory rhythms differentially affect neuronal integration,1 fichier(s) au format donnee reelle detecte(s)
10.5281/zenodo.14965669,zenodo,False,failed,0,0.00,,,False,The global fish and invertebrate abundance value of mangroves dataset,aucun fichier ne matche --file-pattern '^(Camera_|Extrapolation|LDF|Location_|README).*\\.(csv|md)$'
10.5281/zenodo.4090917,zenodo,False,failed,0,0.00,,,False,iSDAsoil: soil extractable Aluminium for Africa predicted at 30 m resolution at 0-20 and 20-50 cm depths,aucun fichier ne matche --file-pattern '^(Camera_|Extrapolation|LDF|Location_|README).*\\.(csv|md)$'
10.5281/zenodo.7298913,zenodo,False,failed,0,0.00,,10.1109/jstars.2022.3188922,True,Uncertainty Analysis of Digital Elevation Models by Spatial Inference From Stable Terrain – Dataset,aucun fichier ne matche --file-pattern '^(Camera_|Extrapolation|LDF|Location_|README).*\\.(csv|md)$'
10.6071/m3wm3g,dryad,False,failed,0,0.00,,10.5194/gmd-15-5045-2022,True,SnowClim v1.0: High-resolution snow model and data for the western United States,aucun fichier ne matche --file-pattern '^(Camera_|Extrapolation|LDF|Location_|README).*\\.(csv|md)$'
