dataset_id,fiche_path,action,formula_used,y_term_used,x_terms_used,formula_candidate_1,formula_candidate_2,recommended_candidate,source,reason
Python_geodatasets_geoda.airbnb,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.airbnb.md,updated,price_pp ~ poverty + crowded + dependency + without_hs + unemployed + income_pc + harship_in + num_crimes,price_pp,poverty + crowded + dependency + without_hs + unemployed + income_pc + harship_in + num_crimes,price_pp ~ poverty + crowded + dependency + without_hs + unemployed + income_pc + harship_in + num_crimes,price_pp ~ poverty + crowded + dependency + without_hs,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.charleston1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.charleston1.md,updated,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MULTI_RA,HH_INC,TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MULTI_RA,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_ + BLACK_ + ASIAN_ + HISP_ + MULTI_RA,HH_INC ~ TOT_POP + POP_16 + POP_65 + WHITE_,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.charleston2,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.charleston2.md,updated,INDEX ~ POP2001 + EST98 + EMP98 + PAY98 + EST01 + MAN98 + MAN01 + OFF98,INDEX,POP2001 + EST98 + EMP98 + PAY98 + EST01 + MAN98 + MAN01 + OFF98,INDEX ~ POP2001 + EST98 + EMP98 + PAY98 + EST01 + MAN98 + MAN01 + OFF98,INDEX ~ POP2001 + EST98 + EMP98 + PAY98,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.chicago_commpop,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.chicago_commpop.md,updated,POP2010 ~ POP2000,POP2010,POP2000,POP2010 ~ POP2000,POP2010 ~ POP2000,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.chicago_health,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.chicago_health.md,updated,BirthRate ~ Pop2014 + PopChng + PopMP + PopFP + Under5P + Under18P + Over65P + Wht14P,BirthRate,Pop2014 + PopChng + PopMP + PopFP + Under5P + Under18P + Over65P + Wht14P,BirthRate ~ Pop2014 + PopChng + PopMP + PopFP + Under5P + Under18P + Over65P + Wht14P,BirthRate ~ Pop2014 + PopChng + PopMP + PopFP,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.chile_labor,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.chile_labor.md,updated,lfs2__1982 ~ pop_1982 + pop_1992 + pop_2002 + area_km2 + sex1__1982 + sex2__1982 + sex1__1992 + sex2__1992,lfs2__1982,pop_1982 + pop_1992 + pop_2002 + area_km2 + sex1__1982 + sex2__1982 + sex1__1992 + sex2__1992,lfs2__1982 ~ pop_1982 + pop_1992 + pop_2002 + area_km2 + sex1__1982 + sex2__1982 + sex1__1992 + sex2__1992,lfs2__1982 ~ pop_1982 + pop_1992 + pop_2002 + area_km2,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.cincinnati,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.cincinnati.md,updated,BURGLARY ~ AREA + POPULATION + MEDIAN_AGE + AGE_0_5 + AGE_15_19 + AGE_20_24 + AGE_25_34 + AGE_35_44,BURGLARY,AREA + POPULATION + MEDIAN_AGE + AGE_0_5 + AGE_15_19 + AGE_20_24 + AGE_25_34 + AGE_35_44,BURGLARY ~ AREA + POPULATION + MEDIAN_AGE + AGE_0_5 + AGE_15_19 + AGE_20_24 + AGE_25_34 + AGE_35_44,BURGLARY ~ AREA + POPULATION + MEDIAN_AGE + AGE_0_5,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.guerry,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.guerry.md,skipped,Crm_prs ~ Region + Litercy + Donatns + Infants + Suicids,Crm_prs,Region + Litercy + Donatns + Infants + Suicids,,,,existing_published_or_manual_formula,formula_used deja renseignee depuis une source publiee ou une revue manuelle
Python_geodatasets_geoda.health,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.health.md,updated,le_agg_q1 ~ statemhir + tractmhir + cty_pop200 + cz_pop2000 + Diversity + BlackorA + AmericanI + Asianalon,le_agg_q1,statemhir + tractmhir + cty_pop200 + cz_pop2000 + Diversity + BlackorA + AmericanI + Asianalon,le_agg_q1 ~ statemhir + tractmhir + cty_pop200 + cz_pop2000 + Diversity + BlackorA + AmericanI + Asianalon,le_agg_q1 ~ statemhir + tractmhir + cty_pop200 + cz_pop2000,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
Python_geodatasets_geoda.health_indicators,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.health_indicators.md,updated,Infan_Rate ~ Below_evel + Unemp_ment + NoHig_loma + PerCa_come + Dependency + Crowd_sing + Prena_ster + Prete_rths,Infan_Rate,Below_evel + Unemp_ment + NoHig_loma + PerCa_come + Dependency + Crowd_sing + Prena_ster + Prete_rths,Infan_Rate ~ Below_evel + Unemp_ment + NoHig_loma + PerCa_come + Dependency + Crowd_sing + Prena_ster + Prete_rths,Infan_Rate ~ Below_evel + Unemp_ment + NoHig_loma + PerCa_come,formula_candidate_1,generated_formula_candidates,formula_used existante completee par deux formules candidates
