publication_doi	publication_title	status	local_pdf	source_url	note
10.1016/j.eneco.2020.104699	On the use of hedonic regression models to measure the effect of energy efficiency on residential property transaction prices: Evidence for Portugal and selected data issues	not_downloaded	C:\Users\jdoliveira\SynologyDrive\johnny D'OLIVEIRA\Travaux stages\llm-wiki-karpathy\corpus\papers\raw_pdf\On the use of hedonic regression models to measure the effect of energy efficiency on residential property transaction prices - Evidence for Portugal and selected data.pdf	https://doi.org/10.1016/j.eneco.2020.104699	Aucune URL candidate n'a renvoye un PDF. Tentatives: 200 text/html;charset=UTF-8 https://doi.org/10.1016/j.eneco.2020.104699
10.1016/j.ufug.2020.126778	Examining the effects of green infrastructure on residential sales prices in Omaha, Nebraska	not_downloaded	C:\Users\jdoliveira\SynologyDrive\johnny D'OLIVEIRA\Travaux stages\llm-wiki-karpathy\corpus\papers\raw_pdf\Examining the effects of green infrastructure on residential sales prices in Omaha Nebraska.pdf	https://doi.org/10.1016/j.ufug.2020.126778 | https://www.ncbi.nlm.nih.gov/pmc/articles/7510957	Aucune URL candidate n'a renvoye un PDF. Tentatives: 200 text/html;charset=UTF-8 https://doi.org/10.1016/j.ufug.2020.126778 ; 200 text/html; charset=utf-8 https://www.ncbi.nlm.nih.gov/pmc/articles/7510957
10.1093/sysbio/syaf010	Global Patterns of Taxonomic Uncertainty and its Impacts on Biodiversity Research	not_downloaded	C:\Users\jdoliveira\SynologyDrive\johnny D'OLIVEIRA\Travaux stages\llm-wiki-karpathy\corpus\papers\raw_pdf\Global Patterns of Taxonomic Uncertainty and its Impacts on Biodiversity Research.pdf	https://doi.org/10.1093/sysbio/syaf010	Aucune URL candidate n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://doi.org/10.1093/sysbio/syaf010
10.1098/rspb.2022.0358	Mistletoes could moderate drought impacts on birds, but are themselves susceptible to drought-induced dieback	not_downloaded	C:\Users\jdoliveira\SynologyDrive\johnny D'OLIVEIRA\Travaux stages\llm-wiki-karpathy\corpus\papers\raw_pdf\Mistletoes could moderate drought impacts on birds but are themselves susceptible to drought-induced dieback.pdf	https://doi.org/10.1098/rspb.2022.0358	Aucune URL candidate n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://doi.org/10.1098/rspb.2022.0358
10.1111/1365-2664.13699	Trade‐offs between biodiversity and agriculture are moving targets in dynamic landscapes	not_downloaded	C:\Users\jdoliveira\SynologyDrive\johnny D'OLIVEIRA\Travaux stages\llm-wiki-karpathy\corpus\papers\raw_pdf\Tradeoffs between biodiversity and agriculture are moving targets in dynamic landscapes.pdf	https://doi.org/10.1111/1365-2664.13699 | https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2664.13699	Aucune URL candidate n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://doi.org/10.1111/1365-2664.13699 ; 403 text/html; charset=UTF-8 https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2664.13699
10.1111/1365-2664.14606	Climatic and management‐related drivers of endemic European spruce bark beetle populations in boreal forests	not_downloaded	C:\Users\jdoliveira\SynologyDrive\johnny D'OLIVEIRA\Travaux stages\llm-wiki-karpathy\corpus\papers\raw_pdf\Climatic and managementrelated drivers of endemic European spruce bark beetle populations in boreal forests.pdf	https://doi.org/10.1111/1365-2664.14606 | https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2664.14606	Aucune URL candidate n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://doi.org/10.1111/1365-2664.14606 ; 403 text/html; charset=UTF-8 https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2664.14606
10.1111/ecog.01243	Lean‐season primary productivity and heat dissipation as key drivers of geographic body‐size variation in a widespread marsupial	not_downloaded	C:\Users\jdoliveira\SynologyDrive\johnny D'OLIVEIRA\Travaux stages\llm-wiki-karpathy\corpus\papers\raw_pdf\Leanseason primary productivity and heat dissipation as key drivers of geographic bodysize variation in a widespread marsupial.pdf	https://doi.org/10.1111/ecog.01243	Aucune URL candidate n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://doi.org/10.1111/ecog.01243
10.1111/ecog.06391	Integrated species distribution models fitted in INLA are sensitive to mesh parameterisation	not_downloaded	C:\Users\jdoliveira\SynologyDrive\johnny D'OLIVEIRA\Travaux stages\llm-wiki-karpathy\corpus\papers\raw_pdf\Integrated species distribution models fitted in INLA are sensitive to mesh parameterisation.pdf	https://doi.org/10.1111/ecog.06391 | https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ecog.06391	Aucune URL candidate n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://doi.org/10.1111/ecog.06391 ; 403 text/html; charset=UTF-8 https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ecog.06391
10.1111/geb.13762	Global variation in the relationship between avian phylogenetic diversity and functional distance is driven by environmental context and constraints	not_downloaded	C:\Users\jdoliveira\SynologyDrive\johnny D'OLIVEIRA\Travaux stages\llm-wiki-karpathy\corpus\papers\raw_pdf\Global variation in the relationship between avian phylogenetic diversity and functional distance is driven by environmental context and constraints.pdf	https://doi.org/10.1111/geb.13762 | https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/geb.13762	Aucune URL candidate n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://doi.org/10.1111/geb.13762 ; 403 text/html; charset=UTF-8 https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/geb.13762
10.7554/elife.02851	Global distribution maps of the leishmaniases	not_downloaded	C:\Users\jdoliveira\SynologyDrive\johnny D'OLIVEIRA\Travaux stages\llm-wiki-karpathy\corpus\papers\raw_pdf\Global distribution maps of the leishmaniases.pdf	https://doi.org/10.7554/elife.02851	Aucune URL candidate n'a renvoye un PDF. Tentatives: 200 text/html; charset=UTF-8 https://doi.org/10.7554/elife.02851
