dataset_doi,download_status,downloaded_mb,local_raw_dir,content_status,ingestion_status,package_include,readiness,decision_note
10.25349/d9x893,downloaded,0.02,data\raw\papers\DatasetFirst_10_25349_d9x893,metadata_only_main_csv_inside_large_rar,pending_manual_large_archive_extraction,manual_review,promising_but_incomplete,"README describes nemo_full_1901_2019.csv with observations, coordinates and climate variables. Dryad exposes it only inside ECOG-06107_R2-data_package_04252022.rar (~3.1 GB), not as a separate CSV."
10.5061/dryad.236j7,downloaded,0.00,data\raw\papers\DatasetFirst_10_5061_dryad_236j7,metadata_only_low_priority_genome_imaging,rejected_low_priority_domain,no,reject,"Spatial genome organization microscopy dataset, not geographic/spatial benchmark data for regression."
10.5061/dryad.3n5tb2rqt,verified_pending_download,9483.61,,small_observation_tables_downloaded_large_simulations_skipped,raw_data_subset_downloaded_pending_paper_review_and_loader,manual_review,promising_subset_needs_paper_review,"Small CSVs were downloaded (camera observations, monthly summaries, camera/CFU locations, LDF/extrapolation). Multi-GB simulation outputs were intentionally skipped; paper review must decide whether the compact tables support a defensible benchmark."
10.5061/dryad.4qrfj6q6b,failed,0.00,,genetic_tagging_low_priority,rejected_low_priority_domain,no,reject,Genetic tagging/genotype uncertainty dataset; no directly downloadable tabular/vector file matched the benchmark filter.
10.5061/dryad.69p8cz94j,downloaded,1.05,data\raw\papers\DatasetFirst_10_5061_dryad_69p8cz94j,classification_tables_no_spatial_geometry,rejected_classification_no_geographic_yx,no,reject,"Downloaded CSVs contain acoustic classification test sets with file/transect/species, but no geographic coordinates or regression Y/X table."
10.5061/dryad.6m905qgc7,failed,0.00,,engineering_spatiotemporal_heat_flux,rejected_out_of_scope_domain,no,reject,Temporal-spatial boiling/heat-flux engineering data; outside the target geographic benchmark scope.
10.5061/dryad.9v46k,failed,0.00,,space_time_occurrence_model,rejected_spatiotemporal_occurrence_model,no,reject,Fish distribution/occurrence space-time model; no direct tabular/vector benchmark file matched the filter.
10.5061/dryad.bk3j9kdk5,failed,0.00,,global_raster_product,rejected_raster_product_no_yx_table,no,reject,Global gross primary productivity product; no compact observation-level Y/X table was available through the targeted filter.
10.5061/dryad.c2fqz61cv,failed,0.00,,weather_forecast_product,rejected_forecast_product,no,reject,Probabilistic severe-weather forecast product; outside cross-sectional spatial regression benchmark scope.
10.5061/dryad.cb8gd26,verified_pending_download,1782.27,,large_phylogenetic_evolution_dataset,rejected_low_priority_domain_large,no,reject,"Large niche/phenotype evolution dataset, low-priority phylogenetic domain and too large for automatic ingestion."
10.5061/dryad.k0p2ngfcc,verified_pending_download,5980.93,,biomedical_multiplexed_imaging,rejected_out_of_scope_domain_large,no,reject,CODEX multiplexed biomedical imaging dataset; not geographic benchmark data.
10.5061/dryad.nzs7h44s4,downloaded,0.00,data\raw\papers\DatasetFirst_10_5061_dryad_nzs7h44s4,animal_pose_tracking_metadata_only,rejected_out_of_scope_tracking_data,no,reject,README describes fly/mouse pose tracking Parquet data; this is not geographic spatial regression data and only README was downloaded.
10.5061/dryad.r4xgxd2tm,failed,0.00,,surface_energy_flux_spatiotemporal,rejected_spatiotemporal_remote_sensing_product,no,reject,"Diurnal surface-energy-flux estimation is spatiotemporal remote sensing, not a compact cross-sectional Y/X benchmark."
10.5061/dryad.tdz08kq33,failed,0.00,,edna_sequence_data,rejected_sequence_data,no,reject,Environmental DNA sequencing/raw metabarcoding data; outside target benchmark scope.
10.5061/dryad.v6wwpzhb8,failed,0.00,,neuronal_spatial_rhythms,rejected_neuroscience_keyword_collision,no,reject,"Neuroscience use of 'spatial'; explicit keyword collision, not geographic data."
10.5281/zenodo.14965669,downloaded,0.13,data\raw\papers\DatasetFirst_10_5281_zenodo_14965669,tabular_spatial_density_data_downloaded,raw_data_downloaded_pending_publication_link_and_loader,manual_review,promising_needs_paper_link,"CSV contains density response, latitude/longitude and reference fields; next step is to select a defensible associated paper/source and write a loader."
10.5281/zenodo.4090917,downloaded,0.00,data\raw\papers\DatasetFirst_10_5281_zenodo_4090917,model_results_only_subset_missing,pending_targeted_subset_download,manual_review,pending_subset_download,Only a model-results text file was downloaded. The full iSDAsoil product is huge; select a useful variable/area/depth subset before ingestion.
10.5281/zenodo.7298913,failed,0.00,,dem_uncertainty_large_no_direct_table,large_dataset_manual_subset_required,manual_review,pending_subset_and_paper_review,DEM uncertainty dataset remains too large or not directly tabular under the benchmark filter; requires paper/source review and targeted subset.
10.6071/m3wm3g,failed,0.00,,snow_model_spatiotemporal_large,rejected_spatiotemporal_raster_model,no,reject,High-resolution snow model/time-varying raster product; outside default cross-sectional benchmark scope.
