paper_title,description_excerpt,paper_year,paper_doi,paper_venue,abstract_available,task_type,literature_score,candidate_decision,spatial_terms,temporal_terms,dataset_terms,modeling_signals,first_landing_url
WorldClim 2: new 1‐km spatial resolution climate surfaces for global land areas,"ABSTRACT We created a new dataset of spatially interpolated monthly climate data for global land areas at a very high spatial resolution (approximately 1 km 2 ). We included monthly temperature (minimum, maximum and average), precipitation, solar radiation, vapour pressure and wind speed, aggregated across a target temporal range of 1970–2000, using data from between 9000 and 60 000 weather stations. Weather station data were interpolated using thin‐plate splines with covariates including elevation, distance to the coast and three satellite‐derived covariates: maximum and minimum land surface temperature as well as cloud cover, obtained with the MODIS satellite platform. Interpolation was done for 23 regions of varying size depending on station density. Satellite data improved prediction accuracy for temperature variables 5–15% (0.07–0.17 °C), particularly for areas with a low station density, although prediction error remained high in such regions for all climate variables....",2017,https://doi.org/10.1002/joc.5086,International Journal of Climatology,True,forecasting,8,keep,spatial,"monthly, temporal",dataset,forecasting,https://doi.org/10.1002/joc.5086
The ERA5 global reanalysis,"Abstract Within the Copernicus Climate Change Service (C3S), ECMWF is producing the ERA5 reanalysis which, once completed, will embody a detailed record of the global atmosphere, land surface and ocean waves from 1950 onwards. This new reanalysis replaces the ERA‐Interim reanalysis (spanning 1979 onwards) which was started in 2006. ERA5 is based on the Integrated Forecasting System (IFS) Cy41r2 which was operational in 2016. ERA5 thus benefits from a decade of developments in model physics, core dynamics and data assimilation. In addition to a significantly enhanced horizontal resolution of 31 km, compared to 80 km for ERA‐Interim, ERA5 has hourly output throughout, and an uncertainty estimate from an ensemble (3‐hourly at half the horizontal resolution). This paper describes the general set‐up of ERA5, as well as a basic evaluation of characteristics and performance, with a focus on the dataset from 1979 onwards which is currently publicly available. Re‐forecasts from ERA5 analyses...",2020,https://doi.org/10.1002/qj.3803,Quarterly Journal of the Royal Meteorological Society,True,forecasting,8,keep,spatial,"monthly, temporal",dataset,forecasting,https://doi.org/10.1002/qj.3803
An update of IPCC climate reference regions for subcontinental analysis of climate model data: definition and aggregated datasets,"Abstract. Several sets of reference regions have been used in the literature for the regional synthesis of observed and modelled climate and climate change information. A popular example is the series of reference regions used in the Intergovernmental Panel on Climate Change (IPCC) Special Report on Managing the Risks of Extreme Events and Disasters to Advance Climate Adaptation (SREX). The SREX regions were slightly modified for the Fifth Assessment Report of the IPCC and used for reporting subcontinental observed and projected changes over a reduced number (33) of climatologically consistent regions encompassing a representative number of grid boxes. These regions are intended to allow analysis of atmospheric data over broad land or ocean regions and have been used as the basis for several popular spatially aggregated datasets, such as the Seasonal Mean Temperature and Precipitation in IPCC Regions for CMIP5 dataset. We present an updated version of the reference regions for the...",2020,https://doi.org/10.5194/essd-12-2959-2020,Earth system science data,True,simulation_modeling,7,keep,"coordinates, regional, spatial",monthly,"available at, dataset, repository, zenodo",simulation_modeling,https://doi.org/10.5194/essd-12-2959-2020
An improved land surface parameter dataset for global and regional climate models,"In 1999, Hagemann et al. derived a global dataset of land surface parameters (LSP) from a global distribution of major ecosystem types that was made available by the U.S. Geological Survey. These parameters are: background surface albedo, surface roughness length due to vegetation, fractional vegetation cover and leaf area index for the growing and dormancy season, forest ratio, plant-available and total soil water holding capacity. The LSP dataset is provided for the use in global and regional climate modelling and it was successfully implemented in the regional climate models HIRHAM and REMO as well as in the global ECHAM model.\n\nAs the U.S. Geological Survey has recently made an updated version of their ecosystem dataset available, these changes were incorporated in the LSP dataset. During this implementation, several improvements were made to the LSP dataset. Over Africa, the background surface albedo of bare soil was corrected with METEOSAT albedo data. In addition, the...",2002,https://doi.org/10.17617/2.2344576,Max Planck Digital Library,True,unknown,6,review,regional,monthly,dataset,,http://hdl.handle.net/11858/00-001M-0000-002B-539B-6
An Overview of CMIP5 and the Experiment Design,"The fifth phase of the Coupled Model Intercomparison Project (CMIP5) will produce a state-of-the- art multimodel dataset designed to advance our knowledge of climate variability and climate change. Researchers worldwide are analyzing the model output and will produce results likely to underlie the forthcoming Fifth Assessment Report by the Intergovernmental Panel on Climate Change. Unprecedented in scale and attracting interest from all major climate modeling groups, CMIP5 includes “long term” simulations of twentieth-century climate and projections for the twenty-first century and beyond. Conventional atmosphere–ocean global climate models and Earth system models of intermediate complexity are for the first time being joined by more recently developed Earth system models under an experiment design that allows both types of models to be compared to observations on an equal footing. Besides the longterm experiments, CMIP5 calls for an entirely new suite of “near term” simulations...",2011,https://doi.org/10.1175/bams-d-11-00094.1,Bulletin of the American Meteorological Society,True,forecasting,5,drop_or_low_priority,,,dataset,"forecasting, simulation_modeling",https://doi.org/10.1175/bams-d-11-00094.1
A Conterminous United States Multilayer Soil Characteristics Dataset for Regional Climate and Hydrology Modeling,"Soil information is now widely required by many climate and hydrology models and soil–vegetation–atmosphere transfer schemes. This paper describes the development of a multilayer soil characteristics dataset for the conterminous United States (CONUS-SOIL) that specifically addresses the need for soil physical and hydraulic property information over large areas. The State Soil Geographic Database (STATSGO) developed by the U.S. Department of Agriculture–Natural Resources Conservation Service served as the starting point for CONUS-SOIL. Geographic information system and Perl computer programming language tools were used to create map coverages of soil properties including soil texture and rock fragment classes, depth-to-bedrock, bulk density, porosity, rock fragment volume, particle-size (sand, silt, and clay) fractions, available water capacity, and hydrologic soil group. Interpolation procedures for the continuous and categorical variables describing these soil properties were...",1998,https://doi.org/10.1175/1087-3562(1998)002<0001:acusms>2.3.co;2,Earth Interactions,True,unknown,4,review,"geographic, regional",,dataset,,https://doi.org/10.1175/1087-3562(1998)002<0001:acusms>2.3.co;2
A soil particle-size distribution dataset for regional land and climate modelling in China,,2011,https://doi.org/10.1016/j.geoderma.2011.01.013,Geoderma,False,unknown,4,review,regional,,dataset,,https://doi.org/10.1016/j.geoderma.2011.01.013
Analysis on the Dynamics of a Wave-like Teleconnection Pattern along the Summertime Asian Jet Based on a Reanalysis Dataset and Climate Model Simulations,,2009,https://doi.org/10.2151/jmsj.87.561,Journal of the Meteorological Society of Japan Ser II,False,simulation_modeling,3,drop_or_low_priority,,,dataset,simulation_modeling,https://doi.org/10.2151/jmsj.87.561
Climate forcing datasets for agricultural modeling: Merged products for gap-filling and historical climate series estimation,,2014,https://doi.org/10.1016/j.agrformet.2014.09.016,Agricultural and Forest Meteorology,False,unknown,2,drop_or_low_priority,,,dataset,,https://doi.org/10.1016/j.agrformet.2014.09.016
How well can we simulate past climates? Evaluating the models using global palaeoenvironmental datasets,,2000,https://doi.org/10.1016/s0277-3791(99)00068-2,Quaternary Science Reviews,False,unknown,2,drop_or_low_priority,,,dataset,,https://doi.org/10.1016/s0277-3791(99)00068-2
