dataset_key	article_ids	dataset_name	geography_time	observational_unit	primary_source_or_owner	retrieval_lead	repo_status	notes
county_teen_pregnancy	E03	US county teenage-pregnancy rates	United States, county cross-section	county	Source described in E03	Search article supplement and cited county-rate source using DOI 10.1016/j.jeconom.2009.10.035	absent	Do not substitute an unrelated county health dataset.
bilateral_trade_gravity	E08;E09	Bilateral trade-flow gravity data	Canada-US regions	bilateral origin-destination flow	Behrens et al. (2012)	Retrieve replication material cited by E08/E09; search title plus Behrens 2012 gravity data	absent	Same empirical family appears in two articles; verify whether the exact extract is identical.
urbansimul_provence	E14	Urbansimul parcel data	26 municipalities, Provence, France	land parcel	Urbansimul project	Search project archive and article supplement using DOI 10.1016/j.regsciurbeco.2017.02.002	absent	Paper says the analysis is a sample of a survey exceeding 60,000 parcels.
tyne_wear_car_ownership	G01	Tyne and Wear car-ownership wards	Tyne and Wear, United Kingdom	ward	UK census-derived study data	Search paper supplement/reproduction packages for the 1996 GWR example	absent	G01 is excluded from the parametric-DGP meta-analysis but its empirical data remain of cataloguing interest.
long_term_illness	G02	Limiting long-term illness data	United Kingdom	areal unit	UK census-derived study data	Search variables LLTI DENSITY CROWD UNEMP with DOI 10.1111/1467-9884.00145	absent	G02 is excluded from the parametric-DGP meta-analysis.
irish_famine_ed	G04	Irish Famine electoral divisions	Republic of Ireland, 1841-1851	electoral division	Historical Irish census data	Search MGWR article supplement and Fotheringham Kelly Charlton 2013 source	absent	Do not equate automatically with spData::eire.
pm25_meteorology	G06	PM2.5 and meteorological data	Study area and period specified in G06	monitor/location	Sources described in G06	Search article supplement using DOI 10.1002/env.2485	absent	Existing Massachusetts PM2.5 records are not assumed identical.
nyc_covid_zcta	G09	New York City COVID-19 ZCTA counts	New York City, early pandemic	ZCTA	NYC public health and census sources	Reconstruct from the sources and specification cited in DOI 10.1080/13658816.2023.2250838	absent	Check licensing and frozen observation date.
colorado_climate	S01	Colorado climatological stations	Colorado, twentieth-century climate record	weather station	NCAR Geophysical Statistics Project	Search archived NCAR US.monthly.met data referenced in the TEI	absent	Record station subset and response used in the paper.
us_precip_1948	S02	US April 1948 precipitation stations	United States, April 1948	weather station	NCAR US.monthly.met	Search archived URL cited in S02 and article supplement	absent	5,909 stations reported.
ncdc_precip_anomalies	S03;S06	NCDC US precipitation anomalies	United States, 1895-1997; paper-specific year/subset	weather station	National Climatic Data Center	Retrieve Johns et al. 2003/NCDC archive and reproduce each paper's subset	absent	S06 uses 7,352 stations for 1962; keep paper-specific derivations.
fia_biomass	S04;S07	USDA FIA forest biomass	United States	forest inventory plot	USDA Forest Service FIA	Use FIA access procedure and paper supplements; preserve disclosure/location restrictions	absent	The two articles may use different FIA extracts.
mirs_tpw	S08	MIRS satellite total precipitable water	United States, 2011-02-01 02:00-03:00 UTC	satellite retrieval pixel	NOAA/NESDIS MIRS	Search S08 supplement and MIRS archive for the frozen hour	absent	Exact temporal slice is essential.
cesm_lens	S09	CESM Large Ensemble climate fields	Americas; 30 ensemble fields	grid cell/ensemble member	CESM LENS	Retrieve from CESM LENS archive and reproduce variables/subset from S09	absent	Document grid 288x192 and approximately 13,000-location study subset.
europe_precip_extremes	S10	European weekly maximum precipitation	Germany Poland Netherlands Belgium Czech Republic France, 2000-2019	weather station-week	Source described in S10	Search article supplement and station-data citation using DOI 10.1080/00949655.2021.2016759	absent	1,006 weeks and 528 stations reported.
hecm_originations	T03;T05	US HECM mortgage origination panel	United States, state panel	state-period	Sources following Haurin et al. 2016	Search author replication files and HECM/FHA data cited in T03/T05	absent	Verify whether T03 and T05 use the same frozen panel.
us_cigarette_panel	T04;T09	US state cigarette demand panel	46 US states, 1963-1992	state-year	spatial-panels.com / Baltagi-Levin data	Retrieve dataset and W from https://spatial-panels.com/software/ then archive provenance	absent	T04 may use a related but differently parameterized extract; compare columns.
sovereign_spreads	T06	Sovereign bond spreads	51 countries, 2007-2012	country-period	Sources described in T06	Search article replication package using DOI 10.1016/j.regsciurbeco.2020.103520	absent	Retain the multiple spatial matrices if distributed.
china_political_competition	T07	Political competition across Chinese cities	China	city-period	Sources described in T07	Search article replication package using DOI 10.1016/j.jeconom.2020.05.016	absent	Capture outcome definition and both spatial weight matrices.
pittsburgh_crime	T08	Pittsburgh monthly crime counts	138 census tracts, January 2008-December 2013	census tract-month	Crime records plus Census 2000/Social Explorer	Search PNAS supplement and reference 1 using DOI 10.1073/pnas.1917411117	absent	Includes Part I/II offences and 15 socioeconomic variables.
usgs_streamflow_il_wi	T10	USGS streamflow	28 stations in Northern Illinois and Wisconsin, June-October 2013	stream gauge-day	US Geological Survey	Use USGS NWIS with station list and dates from article supplement	absent	Daily mean discharge; preserve station identifiers.
pacific_irish_wind	C01	Pacific Ocean wind and Irish wind	Pacific grid 1992-1993; Ireland	grid cell-time	Sources in Li et al. 2007	Retrieve the two datasets from cited paper supplement/source	absent	Two distinct real datasets.
ma_birth_pm25	C02	Massachusetts births and PM2.5 exposure	Massachusetts, 2008	birth with modeled exposure	Massachusetts Birth Registry plus exposure model inputs	Request/access according to registry rules; retrieve exposure surfaces from cited source	absent	Likely restricted microdata; existing 2016 PM2.5 fiches are not the same analytical dataset.
