rank,paper_title,authors,year,DOI,citation_count_text,citation_count,citation_source,checked,already_in_corpus,domain,estimator_keywords,dataset_name,dataset_topic,dataset_size_if_available,response_variable,predictors_or_covariates,coordinates_or_geometry,W_or_neighbor_structure_if_available,regression_formula_or_model_specification,formula_status,metrics,access_class,data_access_url,code_url,open_access_pdf_url,reason_for_selection,ingestion_priority,verification_notes,sources
42,"Bayesian image restoration, with two applications in spatial statistics",Julian Besag; Jeremy York; Annie Mollié,1991,10.1007/BF00116466,"3,792",3792,SciSpace,2026-08-04,uncertain,health / epidemiology,BYM; CAR; Bayesian spatial model,Scottish lip cancer and image-restoration examples,disease mapping,Scottish areal units; exact N to verify,disease counts with expected counts,area-level covariates and offsets,areal polygons,adjacency-based intrinsic CAR structure,log(O_i) or Poisson count model with structured and unstructured random effects,explicit,DIC-like posterior diagnostics in later implementations; risk estimates; residual maps,directly downloadable,https://r-spatial.github.io/spData/reference/scotlip.html,non trouvé,non trouvé,Foundational BYM dataset/model; compact and ideal for adjacency-based regression benchmarks.,high,Original paper predates DIC; record only metrics actually used after PDF extraction.,https://doi.org/10.1007/BF00116466 ; https://r-spatial.github.io/spData/reference/scotlip.html
41,Empirical Bayes estimates of age-standardized relative risks for use in disease mapping,David Clayton; John Kaldor,1987,10.2307/2532003,"1,299",1299,SciSpace,2026-08-04,uncertain,health / epidemiology,empirical Bayes; disease mapping; CAR-like smoothing,Scottish lip cancer data,disease incidence / mortality,Scottish counties/districts; exact N to verify,observed disease counts / relative risk,expected counts and area-level risk factors,Scottish areal units,area adjacency / neighborhood smoothing,empirical-Bayes smoothing of age-standardized relative risks,explicit,posterior/EB risk estimates; goodness of fit,directly downloadable,https://r-spatial.github.io/spData/reference/scotlip.html,non trouvé,non trouvé,Canonical small-area disease-mapping benchmark with an openly packaged dataset.,high,Verify that the package version exactly matches the article’s boundaries and counts.,https://doi.org/10.2307/2532003 ; https://r-spatial.github.io/spData/reference/scotlip.html
16,mgwr: A Python implementation of multiscale geographically weighted regression for investigating process spatial heterogeneity and scale,Taylor M. Oshan; Ziqi Li; Wei Kang; Levi J. Wolf; A. Stewart Fotheringham,2019,10.3390/ijgi8060269,564,564,SciSpace,2026-08-04,uncertain,GWR software / multiple domains,GWR; MGWR; Python; bandwidth selection,mgwr example datasets and simulations,spatially varying relationships,varies,varies by example,documented example covariates,point coordinates,kernel weights with single or variable-specific bandwidths,standard GWR and MGWR equations are explicit,explicit,AICc; CV; local R²; RMSE; bandwidths,directly downloadable,https://github.com/pysal/mgwr,https://github.com/pysal/mgwr,https://www.mdpi.com/2220-9964/8/6/269/pdf,"Open Python implementation, examples and formulas; directly useful for benchmark interoperability.",high,Verify which example datasets are bundled in the tagged version corresponding to the paper.,https://doi.org/10.3390/ijgi8060269 ; https://github.com/pysal/mgwr
15,GWmodel: An R package for exploring spatial heterogeneity using geographically weighted models,Isabella Gollini; Binbin Lu; Martin Charlton; Chris Brunsdon; Paul Harris,2015,10.18637/jss.v063.i17,454,454,SciSpace,2026-08-04,uncertain,GWR software / multiple domains,GWR; GWPR; GWPCA; bandwidth selection; Monte Carlo,GWmodel package example datasets (including Georgia and other documented examples),multiple spatial regression topics,varies by dataset,varies by example,documented package covariates and formulas,coordinates and/or polygons bundled with examples,"distance kernels, adaptive/fixed bandwidths and user-specified distance matrices",multiple explicit R formulas in article and package vignettes,explicit,AICc; CV score; local R²; residuals; Monte Carlo tests,directly downloadable,https://cran.r-project.org/package=GWmodel,https://rpkgs.github.io/GWmodel/,https://www.jstatsoft.org/article/view/v063i17/v63i17.pdf,"Directly reproducible package article with several datasets, formulas and estimators.",high,Extract each package dataset as a separate KG entity rather than treating the paper as one dataset.,https://doi.org/10.18637/jss.v063.i17 ; https://cran.r-project.org/package=GWmodel ; https://www.jstatsoft.org/article/view/v063i17/v63i17.pdf
28,Hyperparameter tuning and performance assessment of statistical and machine-learning algorithms using spatial data,Patrick Schratz et al.,2019,10.1016/j.ecolmodel.2019.06.002,418,418,SciSpace,2026-08-04,uncertain,geospatial ML / spatial CV,RF; SVM; BRT; KNN; GLM; GAM; spatial CV,archived spatial classification research compendium,spatial prediction / ecological modelling,see Zenodo compendium,class response in case study; exact variable to extract from compendium,environmental predictor set in archived workflow,georeferenced observations,spatial folds and tuning grids,multiple model formulas and tuning specifications in code,explicit,AUC; RMSE/error; runtime; tuning-performance comparisons,directly downloadable,https://zenodo.org/records/2633102,https://zenodo.org/records/2633102,non trouvé,One of the strongest reproducible comparisons of learners and spatial resampling.,high,"Inspect the archived scripts to recover exact dataset name, response and preprocessing.",https://doi.org/10.1016/j.ecolmodel.2019.06.002 ; https://zenodo.org/records/2633102
50,Random forest spatial interpolation,Aleksandar Sekulić; Milutin Kilibarda; Gerard B. M. Heuvelink; Mladen Nikolić; Branislav Bajat,2020,10.3390/rs12101687,320,320,Scopus via Wageningen University,2026-08-04,uncertain,climate / soil / geospatial ML,RFSI; RFsp; random forest; kriging; IDW,three case studies plus synthetic random fields,spatial interpolation,multiple datasets,continuous environmental variables including temperature in a case study,"neighbor observations, distances and case-specific environmental covariates",sampling points and prediction grids,nearest-observation distances and values encoded as RF predictors,"RFSI compared with NN, trend surface, IDW, ordinary kriging, regression kriging, RF and RFsp",explicit,RMSE; R²; runtime; cross-validation,directly downloadable,https://github.com/AleksandarSekulic/RFSI,https://github.com/AleksandarSekulic/RFSI,https://www.mdpi.com/2072-4292/12/10/1687/pdf,"Open code and datasets, multiple estimators, clear metrics and >100 citations.",high,Strong ingestion candidate; create separate dataset records for each real case study and simulation design.,https://doi.org/10.3390/rs12101687 ; https://github.com/AleksandarSekulic/RFSI
45,A forest of forests: A spatially weighted and computationally efficient formulation of geographical random forests,Stefanos Georganos; Stamatis Kalogirou,2022,10.3390/ijgi11090471,79,79,OUCI,2026-08-04,uncertain,income / inequality / geospatial ML,GRF; spatially weighted RF; SpatialML,"EU NUTS2 socioeconomic dataset, 2016 geography",regional mean household income,EU-28 NUTS2 regions; exact filtered N to extract,mean household income,four socioeconomic variables linked to NUTS2 polygons,"NUTS2 polygons and geometric centroids, EPSG:3035",local neighborhoods/weights used by geographical forests,global RF plus spatially weighted ensemble of local forests,explicit,RMSE; R²; out-of-sample prediction error,directly downloadable,https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics,https://cran.r-project.org/package=SpatialML,https://www.mdpi.com/2220-9964/11/9/471/pdf,"Open, interpretable regional-income benchmark with public geometry and R implementation.",high,"Below 100 citations, but recent and central. Extract the four exact socioeconomic variables from the article.",https://doi.org/10.3390/ijgi11090471 ; https://ec.europa.eu/eurostat/web/gisco/geodata/statistical-units/territorial-units-statistics ; https://cran.r-project.org/package=SpatialML
47,Scalable GWR: A linear-time algorithm for large-scale geographically weighted regression with polynomial kernels,Daisuke Murakami; Narumasa Tsutsumida; Takahiro Yoshida; Tomoki Nakaya; Binbin Lu,2020,10.1080/24694452.2020.1774350,53,53,Scopus via Tohoku University,2026-08-04,uncertain,income / large-scale GWR,ScaGWR; GWR; large spatial data,U.S. income analysis plus Monte Carlo simulations,regional income,"empirical N not verified; simulations scale up to 1,000,000 observations",income outcome,socioeconomic covariates; exact empirical list to extract,U.S. spatial units / coordinates,polynomial-kernel spatial weights and bandwidth,GWR with pre-compressed matrices for linear-time calibration,explicit,RMSE; coefficient error; runtime; CV score,directly downloadable,https://cran.r-project.org/package=scgwr,https://cran.r-project.org/package=scgwr,https://arxiv.org/pdf/1905.00266,"Scalable method, explicit code and a real income application; central despite <100 citations.",high,Extract the U.S. income dataset source and exact covariates from the full article/package.,https://doi.org/10.1080/24694452.2020.1774350 ; https://cran.r-project.org/package=scgwr ; https://arxiv.org/abs/1905.00266
36,Climatologies at high resolution for the Earth’s land surface areas,Dirk N. Karger et al.,2017,10.1038/sdata.2017.122,non vérifié,,non vérifié,2026-08-04,uncertain,climate / precipitation / temperature,CHELSA; downscaling; spatial interpolation,CHELSA climatologies,high-resolution global climate,"monthly global rasters, 1979–2013 in the original release",monthly temperature and precipitation,"ERA-Interim fields, orography, wind, boundary-layer height and valley effects",global raster grids,physically informed downscaling neighborhoods; no fixed W,orographic and atmospheric downscaling algorithms,explicit,RMSE; bias; station validation; correlation,directly downloadable,https://datadryad.org/dataset/doi:10.5061/dryad.kd1d4,https://chelsa-climate.org/,https://www.nature.com/articles/sdata2017122.pdf,Open data paper with a citable archived release and explicit climate-generation pipeline.,high,Use the Dryad snapshot for reproducibility rather than only the evolving CHELSA portal.,https://doi.org/10.1038/sdata.2017.122 ; https://doi.org/10.5061/dryad.kd1d4 ; https://chelsa-climate.org/
37,Physiographically sensitive mapping of climatological temperature and precipitation across the conterminous United States,Christopher Daly et al.,2008,10.1002/joc.1688,non vérifié,,non vérifié,2026-08-04,uncertain,climate / USA,PRISM; spatial interpolation; regression,PRISM climate station and raster data,temperature and precipitation,"about 13,000 precipitation and 10,000 temperature stations reported",monthly/annual precipitation and temperature,"elevation, coastal proximity, topographic facets and station observations",station coordinates and gridded surfaces,physiographically weighted local neighborhoods,PRISM local climate–elevation regression/interpolation,explicit,MAE/RMSE; bias; cross-validation,directly downloadable,https://prism.oregonstate.edu/,non trouvé,non trouvé,"Large, interpretable, high-quality interpolation benchmark with public station-derived products.",high,Raw station inputs and produced grids have different access/licensing conditions; document the chosen layer.,https://doi.org/10.1002/joc.1688 ; https://prism.oregonstate.edu/
